"","dclientes"
"473",0.0522158019130204
"474",0.052383884220425
"475",0.0525540057142103
"476",0.0527259233890892
"477",0.0528993951481951
"478",0.0530741802303358
"479",0.0532500395446141
"480",0.0534267359090443
"481",0.0536040341927807
"482",0.0537817013646799
"483",0.0539595064540642
"484",0.0541372204326196
"485",0.0543146160292658
"486",0.0544914674924626
"487",0.0546675503166949
"488",0.0548426409517041
"489",0.0550165165143598
"490",0.0551889545238152
"491",0.0553597326807363
"492",0.0555286287109123
"493",0.0556954202924362
"494",0.055859885083911
"495",0.0560218008688121
"496",0.0561809458282882
"497",0.0563370989513562
"498",0.0564900405877493
"499",0.0566395531446839
"500",0.0567854219246405
"501",0.0569274360970167
"502",0.057065389792312
"503",0.0571990833034819
"504",0.057328324375346
"505",0.0574529295595754
"506",0.0575727256099116
"507",0.0576875508899704
"508",0.0577972567643377
"509",0.0579017089427232
"510",0.0580007887467439
"511",0.0580943942694816
"512",0.058182441399303
"513",0.0582648646815171
"514",0.0583416179942458
"515",0.0584126750183365
"516",0.0584780294851716
"517",0.0585376951907512
"518",0.0585917057693233
"519",0.0586401142250116
"520",0.0586829922252111
"521",0.0587204291648685
"522",0.0587525310160041
"523",0.0587794189818441
"524",0.0588012279795845
"525",0.058818104980001
"526",0.0588302072357332
"527",0.058837700433025
"528",0.0588407568039144
"529",0.0588395532372779
"530",0.0588342694277003
"531",0.0588250861008419
"532",0.0588121833528055
"533",0.0587957391389809
"534",0.0587759279450002
"535",0.0587529196688291
"536",0.058726878738714
"537",0.0586979634867953
"538",0.0586663257927756
"539",0.0586321110062187
"540",0.0585954581499691
"541",0.0585565004009446
"542",0.0585153658383088
"543",0.0584721784429005
"544",0.0584270593259126
"545",0.0583801281593105
"546",0.0583315047754615
"547",0.0582813108990369
"548",0.0582296719705318
"549",0.0581767190178127
"550",0.0581225905300129
"551",0.0580674342869009
"552",0.058011409096579
"553",0.0579546863950341
"554",0.0578974516626654
"555",0.05783990561541
"556",0.0577822651314578
"557",0.0577247638787001
"558",0.0576676526129484
"559",0.0576111991224693
"560",0.0575556878004297
"561",0.0575014188333033
"562",0.0574487070000484
"563",0.0573978800837909
"564",0.0573492769047213
"565",0.0573032449897991
"566",0.0572601379015449
"567",0.0572203122545549
"568",0.0571841244542978
"569",0.0571519271981422
"570",0.0571240657833215
"571",0.0571008742706085
"572",0.0570826715557633
"573",0.0570697574033073
"574",0.057062408498815
"575",0.057060874576694
"576",0.0570653746803441
"577",0.0570760936106496
"578",0.0570931786170026
"579",0.0571167363825112
"580",0.0571468303517624
"581",0.0571834784455532
"582",0.0572266512024288
"583",0.0572762703817586
"584",0.0573322080575053
"585",0.0573942862258958
"586",0.057462276943942
"587",0.0575359030092996
"588",0.0576148391853416
"589",0.0576987139686668
"590",0.0577871118896214
"591",0.0578795763298658
"592",0.0579756128346329
"593",0.0580746928911749
"594",0.0581762581390258
"595",0.058279724972201
"596",0.0583844894883417
"597",0.0584899327351625
"598",0.0585954262004125
"599",0.0587003374879638
"600",0.0588040361196369
"601",0.0589058994000009
"602",0.0590053182796855
"603",0.0591017031517416
"604",0.0591944895153204
"605",0.0592831434414308
"606",0.0593671667767966
"607",0.0594461020238914
"608",0.0595195368380717
"609",0.0595871080863645
"610",0.0596485054168744
"611",0.0597034742929371
"612",0.0597518184520187
"613",0.0597934017559016
"614",0.0598281494058367
"615",0.0598560485040124
"616",0.0598771479507924
"617",0.0598915576756199
"618",0.0598994472081436
"619",0.059901043604883
"620",0.0598966287554761
"621",0.0598865361011007
"622",0.059871146805894
"623",0.0598508854299655
"624",0.059826215159762
"625",0.0597976326579686
"626",0.059765662600683
"627",0.0597308519741659
"628",0.0596937642069518
"629",0.0596549732154092
"630",0.0596150574419197
"631",0.0595745939646417
"632",0.0595341527563471
"633",0.0594942911670554
"634",0.059455548701199
"635",0.0594184421548808
"636",0.0593834611725393
"637",0.0593510642751132
"638",0.0593216754037503
"639",0.0592956810143692
"640",0.059273427749148
"641",0.0592552207014439
"642",0.0592413222809452
"643",0.0592319516762057
"644",0.0592272849023024
"645",0.0592274554123815
"646",0.0592325552434765
"647",0.0592426366593634
"648",0.0592577142464946
"649",0.0592777674133488
"650",0.0593027432389278
"651",0.0593325596127068
"652",0.0593671086061154
"653",0.0594062600146222
"654",0.0594498650096762
"655",0.0594977598410827
"656",0.0595497695327881
"657",0.0596057115184018
"658",0.0596653991669944
"659",0.0597286451546265
"660",0.0597952646425395
"661",0.0598650782288162
"662",0.0599379146464383
"663",0.0600136131868544
